Disease,Symptoms,Cause,Prevention,Treatment
COVID-19,"Sốt, ho, đau họng, mệt mỏi, đau đầu, chảy nước mũi, đau nhức cơ thể, tiêu chảy, buồn nôn, khó thở, mất khữu giác",: Virus SARS-CoV-2 gây ra,"Đeo khẩu trang, rửa tay thường xuyên, tiêm vaccine","Hỗ trợ điều trị triệu chứng, dùng thuốc kháng virus khi cần"
Bệnh tiểu đường,"Đói, mệt mỏi, đi tiểu thường xuyên, liên tục khát nước, khô miệng, ngứa da, nhìn mờ, vết cắt lâu lành, tê bì, mất cảm giác ở chân, sụt cân bất thường, buồn nôn, khó ngủ",: Thiếu hoặc kháng insulin trong cơ thể,"Duy trì chế độ ăn uống lành mạnh, tập thể dục thường xuyên","Sử dụng insulin hoặc thuốc uống, kiểm soát đường huyết"
Viêm phổi,"Sốt cao, đau ngực, khó thở, ho có đờm",": Nhiễm trùng vi khuẩn, virus hoặc nấm","Tiêm vaccine phòng phổi, tránh tiếp xúc với người nhiễm bệnh","Dùng kháng sinh, thuốc kháng viêm, hỗ trợ thở"
Trầm cảm,"Tâm trạng buồn bã kéo dài, mất hứng thú, mất năng lượng",": Căng thẳng kéo dài, yếu tố di truyền, mất cân bằng hóa học trong não","Duy trì lối sống tích cực, tham gia hoạt động xã hội","Tư vấn tâm lý, sử dụng thuốc chống trầm cảm"
Hen suyễn,"Khò khè, khó thở, tức ngực, ho",: Phản ứng viêm mạn tính của phế quản,"Tránh các tác nhân dị ứng, kiểm soát môi trường sống","Sử dụng thuốc giãn phế quản, corticosteroid dạng hít"
Viêm tụy,"Đau bụng dữ dội, buồn nôn, sốt, tiêu chảy",": Do rượu, sỏi mật, hoặc nhiễm trùng","Hạn chế rượu bia, điều trị sỏi mật","Nhịn ăn, truyền dịch, thuốc giảm đau, phẫu thuật khi cần"
Loãng xương,"Xương giòn, dễ gãy, đau lưng, giảm chiều cao",": Thiếu canxi, vitamin D, lão hóa","Bổ sung canxi, tập thể dục thường xuyên","Thuốc bisphosphonates, bổ sung canxi và vitamin D"
Ung thư phổi,"Ho kéo dài, khó thở, đau ngực, ho ra máu",": Hút thuốc lá, tiếp xúc với hóa chất độc hại","Tránh hút thuốc, kiểm tra định kỳ","Hóa trị, xạ trị, phẫu thuật cắt bỏ khối u"
Viêm tai giữa,"Đau tai, chảy dịch, sốt, giảm thính lực",: Nhiễm trùng vi khuẩn hoặc virus,"Giữ vệ sinh tai, tiêm vaccine phòng bệnh","Dùng kháng sinh, giảm đau, phẫu thuật khi cần"
Viêm xoang,"Nghẹt mũi, đau đầu, mất khứu giác, chảy dịch mũi",": Nhiễm trùng vi khuẩn, dị ứng, lệch vách ngăn mũi","Giữ vệ sinh mũi, tránh tiếp xúc với chất gây dị ứng","Dùng thuốc giảm đau, kháng sinh, phẫu thuật chỉnh hình mũi"
Ung thư phổi,"Ho dai dẳng, đau ngực, giảm cân không rõ nguyên nhân",": Hút thuốc lá, tiếp xúc hóa chất độc hại","Không hút thuốc, tránh tiếp xúc hóa chất độc hại","Phẫu thuật, hóa trị, xạ trị"
Ung thư dạ dày,"Đau bụng, buồn nôn, giảm cân, chán ăn",": Nhiễm vi khuẩn H. pylori, thói quen ăn uống không lành mạnh","Ăn uống lành mạnh, điều trị H. pylori sớm","Phẫu thuật, hóa trị"
Viêm gan C,"Vàng da, mệt mỏi, đau bụng",: Virus viêm gan C,"Tránh dùng chung kim tiêm, sử dụng thiết bị y tế an toàn",Thuốc kháng virus trực tiếp (DAA)
Loãng xương,"Gãy xương thường xuyên, đau lưng, giảm chiều cao",": Thiếu canxi, tuổi tác, di truyền","Bổ sung canxi, tập thể dục, tránh rượu bia","Thuốc tăng mật độ xương, vitamin D"
Bệnh Parkinson,"Run tay, cứng cơ, chậm vận động",: Thoái hóa tế bào thần kinh sản sinh dopamine,"Tập thể dục, duy trì lối sống lành mạnh","Thuốc tăng dopamine, phẫu thuật kích thích não sâu"
Hội chứng ruột kích thích (IBS),"Đau bụng, tiêu chảy, táo bón",": Căng thẳng, rối loạn chức năng ruột","Chế độ ăn uống lành mạnh, giảm stress","Thuốc giảm triệu chứng, tư vấn tâm lý"
Viêm ruột thừa,"Đau bụng dưới bên phải, sốt, buồn nôn",: Tắc nghẽn ruột thừa,Không có phương pháp phòng ngừa cụ thể,Phẫu thuật cắt bỏ ruột thừa
Sỏi thận,"Đau lưng, tiểu buốt, tiểu ra máu",,"Uống đủ nước, giảm muối trong chế độ ăn","Phẫu thuật, sử dụng sóng xung phá sỏi"
Bệnh lupus ban đỏ,"Phát ban, đau khớp, mệt mỏi",: Rối loạn tự miễn dịch,Không có phương pháp phòng ngừa cụ thể,"Thuốc ức chế miễn dịch, corticosteroid"
Ung thư da,"Nốt ruồi bất thường, vùng da thay đổi màu sắc",": Tia UV, di truyền","Sử dụng kem chống nắng, tránh nắng","Phẫu thuật, liệu pháp miễn dịch"
Bệnh viêm gan C,"Mệt mỏi, vàng da, đau bụng, nước tiểu đậm màu",: Virus viêm gan C (HCV),"Tránh tiếp xúc với máu, sử dụng dụng cụ vô trùng",Sử dụng thuốc kháng virus trực tiếp (DAAs)
Bệnh viêm đại tràng,"Đau bụng, tiêu chảy, phân có máu, sụt cân",,"Chế độ ăn uống lành mạnh, tránh căng thẳng","Dùng thuốc chống viêm, phẫu thuật cắt bỏ phần viêm nặng"
Bệnh loãng xương,"Đau lưng, giảm chiều cao, dễ gãy xương",": Thiếu canxi, mất cân bằng hormone, tuổi tác cao","Tăng cường canxi, vitamin D, tập thể dục","Sử dụng bisphosphonates, bổ sung canxi và vitamin D"
Bệnh viêm tụy,"Đau bụng trên, buồn nôn, sụt cân, phân mỡ",": Sỏi mật, uống rượu quá mức, nhiễm trùng","Tránh rượu bia, duy trì chế độ ăn ít chất béo","Điều trị nội khoa, phẫu thuật nếu cần"
Bệnh Parkinson,"Run, chậm vận động, cứng cơ, mất cân bằng",: Thoái hóa tế bào thần kinh sản xuất dopamine,"Tăng cường vận động, duy trì sức khỏe não bộ","Sử dụng levodopa, điều trị triệu chứng"
Bệnh lupus ban đỏ,"Phát ban da, đau khớp, mệt mỏi, tổn thương cơ quan",: Rối loạn miễn dịch tấn công cơ thể,"Tránh ánh nắng, kiểm soát căng thẳng","Dùng thuốc ức chế miễn dịch, corticosteroid"
Bệnh gout,"Đau nhức khớp dữ dội, sưng đỏ, nóng khớp",": Tăng axit uric trong máu, lắng đọng tinh thể urat","Hạn chế ăn thực phẩm chứa purine, uống nhiều nước","Dùng thuốc giảm axit uric, chống viêm"
Bệnh đau nửa đầu,"Đau đầu dữ dội một bên, nhạy cảm ánh sáng, buồn nôn",: Rối loạn hoạt động thần kinh và mạch máu não,"Tránh căng thẳng, ngủ đủ giấc","Sử dụng thuốc giảm đau, thuốc phòng ngừa cơn"
Bệnh Alzheimer,"Mất trí nhớ, nhầm lẫn, khó khăn trong giao tiếp",: Tích tụ protein amyloid và tau trong não,"Duy trì hoạt động trí não, ăn uống lành mạnh","Sử dụng thuốc ức chế cholinesterase, điều trị triệu chứng"
Bệnh động kinh,"Co giật, mất ý thức, rối loạn hành vi tạm thời",: Hoạt động điện bất thường trong não,"Tránh chấn thương đầu, kiểm soát nguyên nhân","Dùng thuốc chống động kinh, phẫu thuật nếu cần"
